02/04/2020	BVF-19-07134-1	2284 Se Wakita Drive	Marietta	30060	Cobb	Not Available
02/04/2020	DMI-19-06938-1	4171 Mistymorn Way	Powder Springs	30127	Cobb	Not Available
02/04/2020	BAC-19-07212-1	5109 Glendora Drive	Powder Springs	30127	Cobb	Go to Auction.com
02/04/2020	FREM-19-05876-2	75 Red Oak Dr	Richmond Hill	31324	Bryan	Go to Xome.com
02/04/2020	LNC-19-06394-1	108 S Hallowes Dr	Saint Marys	31558	Camden	Not Available
02/04/2020	RMU-19-05995-4	125 E Welwood Drive	Savannah	31419	Chatham	Not Available
02/04/2020	AMI-19-05664-3	1606 Eleanor St	Savannah	31415	Chatham	Not Available
02/04/2020	NAT-19-06932-1	1331 Owen Cir	Sugar Hill	30518	Gwinnett	Go to Auction.com
02/04/2020	SPS-18-03372-7	252 Mac Garner Rd	Temple	30179	Haralson	Go to Auction.com
02/04/2020	PNY-18-08090-3	931 Roxeywood Dr	Winder	30680	Barrow	Go to Auction.com
02/04/2020	QKN-19-07465-1	201 Sweetwater Walk	Winterville	30683	Clarke	Go to Auction.com
